Years,CO2,CH4,NOx
2114,-2588.0359999999996,142.0527,15.9895
2115,-2663.026666666666,142.0527,15.9895
2116,-2738.017333333333,142.0527,15.9895
2117,-2813.008,142.0527,15.9895
2118,-2887.9986666666664,142.0527,15.9895
2119,-2962.989333333333,142.0527,15.9895
2120,-3037.9799999999996,142.0527,15.9895
2121,-3112.9706666666666,142.0527,15.9895
2122,-3187.961333333333,142.0527,15.9895
2123,-3262.9519999999993,142.0527,15.9895
2124,-3337.942666666667,142.0527,15.9895
2125,-3412.933333333333,142.0527,15.9895
2126,-3412.933333333333,142.0527,15.9895
2127,-3412.933333333333,142.0527,15.9895
2128,-3412.933333333333,142.0527,15.9895
2129,-3412.933333333333,142.0527,15.9895
2130,-3412.933333333333,142.0527,15.9895
2131,-3412.933333333333,142.0527,15.9895
2132,-3412.933333333333,142.0527,15.9895
2133,-3412.933333333333,142.0527,15.9895
2134,-3412.933333333333,142.0527,15.9895
2135,-3412.933333333333,142.0527,15.9895
2136,-3412.933333333333,142.0527,15.9895
2137,-3412.933333333333,142.0527,15.9895
2138,-3412.933333333333,142.0527,15.9895
2139,-3412.933333333333,142.0527,15.9895
2140,-3412.933333333333,142.0527,15.9895
2141,-3412.933333333333,142.0527,15.9895
2142,-3412.933333333333,142.0527,15.9895
2143,-3412.933333333333,142.0527,15.9895
2144,-3412.933333333333,142.0527,15.9895
2145,-3412.933333333333,142.0527,15.9895
2146,-3412.933333333333,142.0527,15.9895
2147,-3412.933333333333,142.0527,15.9895
2148,-3412.933333333333,142.0527,15.9895
2149,-3412.933333333333,142.0527,15.9895
2150,-3412.933333333333,142.0527,15.9895
2151,-3412.933333333333,142.0527,15.9895
2152,-3412.933333333333,142.0527,15.9895
2153,-3412.933333333333,142.0527,15.9895
2154,-3412.933333333333,142.0527,15.9895
2155,-3412.933333333333,142.0527,15.9895
2156,-3412.933333333333,142.0527,15.9895
2157,-3412.933333333333,142.0527,15.9895
2158,-3412.933333333333,142.0527,15.9895
2159,-3412.933333333333,142.0527,15.9895
2160,-3412.933333333333,142.0527,15.9895
2161,-3412.933333333333,142.0527,15.9895
2162,-3412.933333333333,142.0527,15.9895
2163,-3412.933333333333,142.0527,15.9895
2164,-3412.933333333333,142.0527,15.9895
2165,-3412.933333333333,142.0527,15.9895
2166,-3412.933333333333,142.0527,15.9895
2167,-3412.933333333333,142.0527,15.9895
2168,-3412.933333333333,142.0527,15.9895
2169,-3412.933333333333,142.0527,15.9895
2170,-3412.933333333333,142.0527,15.9895
2171,-3412.933333333333,142.0527,15.9895
2172,-3412.933333333333,142.0527,15.9895
2173,-3412.933333333333,142.0527,15.9895
2174,-3412.933333333333,142.0527,15.9895
2175,-3412.933333333333,142.0527,15.9895
2176,-3412.933333333333,142.0527,15.9895
2177,-3412.933333333333,142.0527,15.9895
2178,-3412.933333333333,142.0527,15.9895
2179,-3412.933333333333,142.0527,15.9895
2180,-3412.933333333333,142.0527,15.9895
2181,-3412.933333333333,142.0527,15.9895
2182,-3412.933333333333,142.0527,15.9895
2183,-3412.933333333333,142.0527,15.9895
2184,-3412.933333333333,142.0527,15.9895
2185,-3412.933333333333,142.0527,15.9895
2186,-3412.933333333333,142.0527,15.9895
2187,-3412.933333333333,142.0527,15.9895
2188,-3412.933333333333,142.0527,15.9895
