Year,CO2,CH4,NOx
1957,12986.86327,220.01902,55.965026
1958,13381.79957,225.17052,57.33645357
1959,13440.51757,230.32202,58.70788114
1960,13820.70543,235.47352,60.07930871
1961,14073.8466,238.52217,62.29432043
1962,14430.42957,241.57083,64.50932886
1963,15005.08057,244.61948,66.72433729
1964,15618.48897,247.66813,68.939349
1965,16167.27127,250.71679,71.15435743
1966,16861.88827,253.76544,73.36936586
1967,17264.9598,256.81409,75.58437757
1968,17685.07693,259.86274,77.799386
1969,18474.08897,262.9114,80.01439771
1970,19334.7473,265.96005,82.22940614
1971,19440.2681,270.02505,84.80321129
1972,19968.89437,274.09004,87.37701971
1973,20783.0282,278.15504,89.95082486
1974,20836.7027,282.22003,92.52463329
1975,20704.15453,286.28503,95.09844171
1976,21903.22823,290.35002,97.67224686
1977,22450.9538,294.41502,100.2460553
1978,22716.35667,298.48002,102.8198604
1979,23656.2799,302.54501,105.3936689
1980,23309.76853,306.61001,107.967474
1981,22780.49437,310.01251,109.6023666
1982,23163.82017,313.415,111.2372591
1983,23230.24037,316.8175,112.8721484
1984,24016.9721,320.22,114.507041
1985,24637.59797,323.6225,116.1419336
1986,25289.74177,327.025,117.7768261
1987,25839.03153,330.42749,119.4117154
1988,26695.99093,333.82999,121.046608
1989,27179.6932,337.23249,122.6815006
1990,27366.10543,340.63499,124.3163931
1991,27925.25963,336.59218,124.4237933
1992,27212.27813,332.54937,124.5311967
1993,27214.36887,328.50656,124.6386001
1994,27615.85053,324.46375,124.7460003
1995,28039.03813,320.42094,124.8534037
1996,28457.37583,316.37814,124.9608071
1997,28736.1789,312.33533,125.0682073
1998,28610.4247,308.29252,125.1756107
1999,28423.22707,304.24971,125.2830109
2000,28907.26667,300.2069,125.3904143
2001,29435.63333,303.4092,125.8060571
2002,29995.9,306.5788,126.2217
2003,31209.56667,309.7164,126.6373429
2004,32687.6,312.824,127.0533143
2005,33610.5,315.9027,127.4686286
2006,33869.0,317.2396,126.7822429
2007,34127.5,318.5722,126.0965143
2008,34384.77753,319.8964,125.4113344
2009,34642.05569,321.2206,124.7261513
2010,34899.33333,322.5448,124.0409714
2011,35153.91,323.84112,123.3583971
2012,35408.48667,325.13744,122.6758229
2013,35663.06333,326.43376,121.9932486
2014,35917.64,327.73008,121.3106743
2015,36172.21667,329.0264,120.6281
2016,36426.79333,330.32272,119.9455257
2017,36681.37,331.61904,119.2629514
2018,36935.94667,332.91536,118.5803771
2019,37190.52333,334.21168,117.8978029
2020,37445.1,335.508,117.2152286
2021,37796.11,335.85701,116.9157029
2022,38147.12,336.20602,116.6161771
2023,38498.13,336.55503,116.3166514
2024,38849.14,336.90404,116.0171257
2025,39200.15,337.25305,115.7176
2026,39551.16,337.60206,115.4180743
2027,39902.17,337.95107,115.1185486
2028,40253.18,338.30008,114.8190229
2029,40604.19,338.64909,114.5194971
2030,40955.2,338.9981,114.2199714
2031,41089.80333,338.85573,113.49833
2032,41224.40667,338.71336,112.7766886
2033,41359.01,338.57099,112.0550471
2034,41493.61333,338.42862,111.3334057
2035,41628.21667,338.28625,110.6117643
2036,41762.82,338.14388,109.8901229
2037,41897.42333,338.00151,109.1684814
2038,42032.02667,337.85914,108.44684
2039,42166.63,337.71677,107.7251986
2040,42301.23333,337.5744,107.0035571
2041,42207.07333,336.95066,105.8590443
2042,42112.91333,336.32692,104.7145314
2043,42018.75333,335.70318,103.5700186
2044,41924.59333,335.07944,102.4255057
2045,41830.43333,334.4557,101.2809929
2046,41736.27333,333.83196,100.13648
2047,41642.11333,333.20822,98.99196714
2048,41547.95333,332.58448,97.84745429
2049,41453.79333,331.96074,96.70294143
2050,41359.63333,331.337,95.55842857
2051,40738.28,329.96427,94.39853857
2052,40116.92667,328.59154,93.23864857
2053,39495.57333,327.21881,92.07875857
2054,38874.22,325.84608,90.91886857
2055,38252.86667,324.47335,89.75897857
2056,37631.51333,323.10062,88.59908857
2057,37010.16,321.72789,87.43919857
2058,36388.80667,320.35516,86.27930857
2059,35767.45333,318.98243,85.11941857
2060,35146.1,317.6097,83.95952857
2061,34279.55667,315.92522,82.86111429
2062,33413.01333,314.24074,81.7627
2063,32546.47,312.55626,80.66428571
2064,31679.92667,310.87178,79.56587143
2065,30813.38333,309.1873,78.46745714
2066,29946.84,307.50282,77.36904286
2067,29080.29667,305.81834,76.27062857
2068,28213.75333,304.13386,75.17221429
